"filename", "language", "HTML", "comment", "blank", "total"
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-href.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-hreflang.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-imagesizes.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-imagesrcset.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-integrity.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-media.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-prefetch.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-referrerpolicy.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-rel.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-sizes.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-title.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-map-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meta-charset.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meta-content.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meta-http-equiv.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-high.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-low.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-max.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-min.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-optimum.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-meter-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-data.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-form.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-height.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-usemap.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-object-width.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-ol-reversed.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-ol-start.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-ol-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-optgroup-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-optgroup-label.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-option-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-option-label.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-option-selected.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-option-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-output-for.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-output-form.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-output-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-portal-referrerpolicy.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-portal-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-progress-max.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-progress-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-q-cite.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-blocking.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-crossorigin.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-defer.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-fetchpriority.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-integrity.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-nomodule.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-nonce.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-referrerpolicy.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-script-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-autocomplete.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-autofocus.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-form.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-id.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-multiple.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-required.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-select-size.html", "HTML", 0, 0, 1, 1
